"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 25 16:30:06 UTC 2025","Thu Dec 25 16:31:03 UTC 2025","56525","Surefire suite","Surefire test","com.example.teamcity.ui.EditBuildTest","com.example.teamcity.ui.EditBuildTest","userAddsBuildConfigurationStep","User should be able to add build configuration step",""
"passed","Thu Dec 25 16:31:03 UTC 2025","Thu Dec 25 16:31:15 UTC 2025","11713","Surefire suite","Surefire test","com.example.teamcity.ui.EditBuildTest","com.example.teamcity.ui.EditBuildTest","userEditsBuildConfigurationGeneralSettings","User should be able to edit build configuration description",""
"passed","Thu Dec 25 16:31:38 UTC 2025","Thu Dec 25 16:31:48 UTC 2025","10068","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfigurationWithoutProject","User should not be able to create build without name",""
"passed","Thu Dec 25 16:31:48 UTC 2025","Thu Dec 25 16:32:02 UTC 2025","14034","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Dec 25 16:32:02 UTC 2025","Thu Dec 25 16:32:12 UTC 2025","9612","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Dec 25 16:31:16 UTC 2025","Thu Dec 25 16:31:38 UTC 2025","22000","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Thu Dec 25 16:29:07 UTC 2025","Thu Dec 25 16:29:57 UTC 2025","49911","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
